         300
  14.40480   0.00000   0.00000
   0.00000  14.40480   0.00000
   0.00000   0.00000  14.40480
H    0.35327   0.16863  14.35453
O    1.30769   0.02482  14.40228
H    1.43326  13.47225   0.03080
H    0.03234   0.64330   6.47299
O    0.98786   0.53810   6.59628
H    1.18929  14.01342   6.41388
H    5.46999   6.50207  13.88436
O    6.27653   6.22171  14.33876
H    6.55677   5.37156  13.97654
H    9.74687   4.88530   4.66506
O   10.75970   4.95234   4.72500
H   11.07561   4.05505   4.68602
H    7.75272   9.89196  10.73609
O    8.67939   9.95669  10.99554
H    9.07993   9.07684  10.94115
H    5.98108   8.12492   3.53251
O    6.82227   8.01906   3.77370
H    7.14956   7.18114   3.47119
H    4.24974   0.55130   5.53395
O    5.21824   0.57764   5.50039
H    5.48216  14.01426   5.48401
H    1.21681  11.62919   2.23473
O    2.17593  11.52032   2.17968
H    2.37333  10.58085   2.30028
H    2.39214   6.11116  14.01550
O    3.35686   6.16798  14.04931
H    3.63170   5.23905  14.07061
H   13.98137   8.46263   3.05758
O    0.54423   8.44647   3.05536
H    0.80581   7.51416   3.08942
H    6.89453   5.79556   7.17625
O    7.86073   5.69985   7.12071
H    8.12807   4.77520   7.24356
H   12.35842   7.91389   7.85510
O   13.31875   7.90505   7.93851
H   13.62374   6.99085   7.88555
H    3.32428   9.47375  11.49395
O    4.26669   9.38471  11.69562
H    4.53671   8.48195  11.47731
H    7.89710   1.45339   5.43236
O    8.86166   1.41532   5.46722
H    9.10085   0.47698   5.45860
H    1.50139  10.91454   7.09090
O    2.46438  10.95718   6.98879
H    2.75084  10.03643   7.07450
H    2.66814  14.24940   7.89444
O    3.63177  14.18723   7.86517
H    3.85767  13.25761   7.71708
H    9.45400   4.62144   9.90412
O   10.42034   4.62501   9.91024
H   10.72803   3.71149   9.88863
H    1.57665   2.57180  13.23884
O    2.52278   2.51754  13.43450
H    2.79065   1.59598  13.30446
H    5.33643   4.43216   3.90651
O    6.27939   4.46507   3.69792
H    6.63610   3.57299   3.81985
H    2.56866   6.41010   7.36410
O    3.53388   6.47180   7.42143
H    3.86521   5.53726   7.31880
H    0.13077   4.12735   4.30136
O    1.09673   4.09169   4.31823
H    1.40671   3.17489   4.35622
H   12.00130   5.35906  11.16542
O   12.90831   5.09158  10.95235
H   13.04956   4.20241  11.30038
H    7.17971  13.22612   3.42558
O    8.14628  13.38656   3.46551
H    8.40148  12.45445   3.42370
H   13.59885   9.59414  12.41205
O    0.15415   9.53160  12.50203
H    0.50467   8.68770  12.48938
H    7.08321   0.14828  11.66737
O    8.04735   0.21218  11.62019
H    8.39838  13.71394  11.65008
H    4.70016   1.48879   9.07232
O    5.65820   1.58797   9.15624
H    6.03325   0.69757   9.12965
H    0.90138  12.63463  10.38455
O    1.86295  12.58889  10.28222
H    2.11331  11.66784  10.43405
H   13.06018   7.58162  10.93505
O   14.01266   7.60496  10.76930
H   14.37164   6.73017  10.96724
H    1.25583   0.20273   3.00469
O    2.22296   0.24324   3.00054
H    2.56437  13.74489   2.92337
H    9.84943   3.22376   2.70355
O   10.81323   3.14656   2.65690
H   11.05370   2.21149   2.71681
H    3.82089   5.61961  11.14956
O    4.76642   5.54214  11.34623
H    5.02959   4.63875  11.11408
H    5.82597   8.79652   7.75411
O    6.78985   8.83310   7.82550
H    7.10997   7.92544   7.73517
H    5.82776   6.73633   9.75179
O    6.73374   6.65745   9.42775
H    7.09345   5.80386   9.70747
H   10.32073  12.38394   4.74118
O   11.27510  12.34558   4.59193
H   11.53936  11.41775   4.66343
H   10.86168  11.55094  13.93693
O   11.81653  11.48802  13.79514
H   12.08726  10.57694  13.96350
H    3.89847   1.35629   2.10307
O    4.86314   1.33473   2.05023
H    5.11764   0.40410   2.12758
H    8.35457  11.80775   9.22454
O    9.30691  11.81897   9.07015
H    9.64892  10.91917   9.17948
H    8.10349   3.52339  13.64309
O    9.05913   3.38879  13.68835
H    9.24554   2.45417  13.55281
H    0.09698   8.88565   0.41528
O    1.06009   8.79916   0.45337
H    1.27090   7.85761   0.40690
H    4.81848  13.20937   9.88286
O    5.76793  13.21949  10.07624
H    6.11746  12.34541   9.85344
H    2.46322   8.81673   9.36490
O    3.39886   8.73994   9.13582
H    3.68847   7.83530   9.32121
H    3.23221  12.19062  13.11621
O    4.14604  12.08122  12.82209
H    4.45103  11.20725  13.10638
H    3.30778  12.89258   0.87840
O    4.25443  12.83454   1.06198
H    4.50973  11.90551   0.96690
H    7.61299  10.21732   2.92194
O    8.55524  10.16952   3.13285
H    8.83528   9.26045   2.95603
H    4.43975  11.30390   3.09868
O    5.40209  11.21265   3.08538
H    5.60942  10.27744   3.20422
H   11.12464   6.28888   2.72278
O   12.08837   6.19747   2.71112
H   12.29343   5.25153   2.69638
H   13.64538   6.22990   1.14895
O    0.13823   6.00738   1.43343
H    0.31710   5.11369   1.11692
H   10.54206  13.24378   8.17053
O   11.50591  13.14406   8.16786
H   11.70352  12.20217   8.26924
H    3.50847   7.43728   5.24780
O    4.45702   7.41797   5.06018
H    4.77397   6.52156   5.24354
H   13.82278   3.05322   9.36680
O    0.38632   3.04677   9.39059
H    0.68082   2.12475   9.40217
H    5.04337   3.18420  13.20904
O    6.01119   3.14468  13.18482
H    6.27516   2.21517  13.24553
H   12.41616  13.79025   2.91850
O   13.32854  13.72488   3.23522
H   13.64064  12.84048   3.00856
H    8.24902   8.21648  13.00599
O    9.21522   8.15218  13.03457
H    9.45024   7.22212  12.91450
H   13.89287  11.15964   4.25928
O    0.45283  11.17326   4.20566
H    0.76552  10.26587   4.33390
H   12.17891   2.81530   0.84717
O   13.12039   2.79301   1.06788
H   13.41615   1.87829   0.95493
H   12.59700   7.14475   4.66046
O   13.53734   7.09655   4.87434
H   13.83824   6.20829   4.63371
H   10.46826   0.89080  10.58849
O   11.42972   0.85251  10.68844
H   11.70543  14.33972  10.54403
H    7.36896   2.91882   8.43518
O    8.33503   2.88407   8.36546
H    8.59919   1.95496   8.40213
H    8.86984  10.58789   6.11855
O    9.83286  10.59056   6.21620
H   10.13187   9.67131   6.22783
H   11.18117   1.44219   8.26112
