 NATS=         65391
 1.0  Generated by the LATTE library
   0.00000  87.13000   0.00000  87.13000   0.00000  87.13000
O   43.37700  43.38400  43.56500
H   42.95900  44.24500  43.56500
H   44.35800  43.06500  43.56500
O    5.69000  12.75100  11.65100
H    4.76000  12.68100  11.28100
H    5.80000  13.64100  12.09100
O   15.55100  15.11100   7.03000
H   14.98100  14.95100   7.84000
H   14.96100  15.21100   6.23000
O   17.43100   6.18000   8.56000
H   17.76100   7.12000   8.56000
H   17.94100   5.64000   9.22000
O   11.35100   7.03000   7.17000
H   11.92100   7.81000   6.92000
H   10.75100   7.29000   7.93000
O   17.55100   6.07000   2.31000
H   17.43100   5.94000   1.32000
H   17.25100   5.26000   2.80000
O    7.68000  11.44100  10.23100
H    6.90000  11.61100  10.83100
H    8.02000  12.31100   9.87100
O    8.50000   7.98000  18.23100
H    8.46000   8.74000  18.88100
H    8.72000   8.34000  17.32100
O    6.85000  10.12100   6.65000
H    7.54000   9.96100   7.35000
H    6.12000  10.69100   7.03000
O    6.86000  11.61100  18.03100
H    7.46000  12.40100  18.17100
H    6.00000  11.92100  17.62100
O   14.60100  15.05100  13.39100
H   14.84100  15.99100  13.65100
H   14.44100  14.51100  14.21100
O    4.38000   3.92000  14.99100
H    5.20000   3.36000  15.08100
H    3.57000   3.34000  15.03100
O   16.03100   4.47000   7.37000
H   15.29100   4.93000   6.87000
H   16.54100   5.15000   7.90000
O    2.31000  17.13100   4.83000
H    2.65000  17.90100   5.37000
H    2.75000  17.13100   3.93000
O   11.27100  13.41100  16.90100
H   11.74100  13.41100  17.78100
H   10.79100  12.54100  16.79100
O    6.20000  17.86100  14.39100
H    5.28000  17.69100  14.74100
H    6.48000  18.78100  14.65100
O    6.06000   9.64100   1.23000
H    6.13000  10.48100   0.69000
H    6.52000   9.77100   2.11000
O   15.94100   1.14000  14.80100
H   15.76100   1.81000  14.08100
H   15.91100   1.60000  15.69100
O    1.22000   6.43000   5.63000
H    0.77000   5.55000   5.80000
H    1.21000   6.97000   6.47000
O   18.42100  17.67100   3.59000
H   18.96100  17.38100   4.39000
H   18.72100  18.57100   3.30000
O   16.89100   9.22000   6.12000
H   17.84100   8.93000   6.20000
H   16.81100   9.87000   5.37000
O   16.41100  11.08100   4.32000
H   17.27100  11.10100   3.80000
H   16.55100  11.55100   5.20000
O    6.13000  13.65100   7.26000
H    5.64000  12.78100   7.35000
H    5.90000  14.08100   6.39000
O   12.93100  12.28100  14.23100
H   13.30100  11.55100  13.65100
H   13.45100  12.33100  15.08100
O    8.09000   0.04000   5.02000
H    8.49000   0.95000   4.93000
H    7.09000   0.12000   5.08000
O   15.25100   9.99100   1.90000
H   14.62100   9.23100   2.03000
H   15.73100  10.17100   2.76000
O   11.87100  17.92100  16.16100
H   12.11100  18.52100  15.40100
H   11.94100  16.97100  15.86100
O    3.17000   2.51000  18.01100
H    3.88000   3.22000  18.07100
H    2.29000   2.90000  18.29100
O   14.66100  14.17100   9.53100
H   14.07100  14.23100  10.33100
H   14.51100  13.29100   9.07100
O   16.67100  17.14100   5.72000
H   16.26100  16.91100   4.84000
H   16.49100  16.40100   6.37000
O    5.98000   7.29000   2.70000
H    6.22000   7.98000   2.02000
H    5.20000   7.62000   3.24000
O   12.81100   3.45000   9.44100
H   11.95100   2.95000   9.31100
H   13.43100   2.91000  10.00100
O   15.76100  16.62100   3.07000
H   16.65100  17.08100   3.10000
H   15.55100  16.38100   2.12000
O    8.07000   6.05000  14.65100
H    7.60000   6.02000  15.54100
H    7.56000   5.50000  13.99100
O   13.94100   4.69000  16.74100
H   13.74100   5.12000  17.62100
H   14.72100   4.07000  16.83100
O    9.73100   8.90000  15.72100
H   10.19100   8.06000  15.43100
H    9.17100   9.24000  14.97100
O    9.91100   4.10000  12.42100
H    9.14100   4.44000  12.96100
H    9.57100   3.59000  11.63100
O   10.41100   7.01000   4.29000
H   10.67100   6.97000   5.25000
H    9.56100   6.50000   4.15000
O    8.65000   3.48000   1.95000
H    9.24000   4.11000   1.46000
H    8.84000   2.54000   1.66000
O   17.19100   5.85000  18.31100
H   16.93100   6.74000  17.95100
H   17.17100   5.17000  17.58100
O   13.62100  11.44100   5.45000
H   14.45100  11.15100   4.97000
H   13.13100  12.11100   4.89000
O    5.50000   1.96000   8.85000
H    5.45000   1.91000   9.85000
H    5.52000   2.92000   8.56000
O   10.08100  14.56100   4.77000
H    9.62100  15.28100   4.25000
H   10.04100  14.76100   5.75000
O    3.51000  18.01100   8.53000
H    4.01000  17.15100   8.59000
H    4.16000  18.78100   8.50000
O   17.95100  10.66100   8.73000
H   17.33100  10.51100   7.97000
H   17.43100  10.77100   9.58000
O   12.27100  15.50100  15.06100
H   12.33100  14.73100  15.70100
H   11.75100  15.24100  14.26100
O    3.21000   9.43100   2.42000
H    4.03000   9.82100   2.00000
H    2.94000   8.61100   1.93000
O   14.58100   7.35000   7.28000
H   14.53100   6.70000   8.03000
H   15.38100   7.94000   7.41000
O    4.61000  12.66100  17.27100
H    4.11000  12.67100  16.41100
H    3.98000  12.48100  18.03100
O   11.11100  17.76100   2.37000
H   10.51100  17.14100   2.87000
H   11.42100  17.32100   1.52000
O    2.02000   2.85000  14.98100
H    1.22000   3.45000  14.85100
H    1.92000   2.36000  15.84100
O   16.32100  13.77100   0.81000
H   16.00100  14.71100   0.71000
H   15.56100  13.14100   0.69000
O    4.64000  17.43100   3.23000
H    4.97000  17.82100   4.09000
H    5.40000  17.36100   2.58000
O   14.00100   1.07000   4.26000
H   13.76100   0.70000   3.36000
H   14.99100   1.23000   4.30000
O    2.49000  17.85100  12.41100
H    3.06000  17.20100  12.91100
H    2.33000  17.52100  11.48100
O    9.40100  16.98100   9.04000
H   10.20100  16.41100   9.25000
H    8.91100  16.58100   8.27000
O    3.82000   7.00000   4.80000
H    4.27000   6.10000   4.77000
H    2.88000   6.89000   5.13000
O   15.47100   2.22000  17.29100
H   15.42100   2.59000  18.21100
H   14.75100   1.53000  17.17100
O    6.14000   1.22000   1.17000
H    7.12000   1.00000   1.24000
H    5.83000   1.05000   0.24000
O    7.81000   2.64000  17.49100
H    8.48000   2.03000  17.92100
H    7.08000   2.83000  18.14100
O    8.88000  15.14100  11.95100
H    8.65000  14.89100  11.01100
H    9.49000  14.45100  12.34100
O   13.51100   5.90000  14.33100
H   13.79100   5.47000  15.18100
H   13.76100   6.86000  14.34100
O    8.03000  14.02100   9.24000
H    8.93000  14.16100   8.82000
H    7.32000  14.04100   8.53000
O    9.22000   5.03000   8.99000
H    8.97000   4.94000   8.03000
H    9.70000   4.21000   9.30000
O    5.39000   0.64000   5.12000
H    4.58000   0.65000   5.70000
H    5.42000   1.47000   4.57000
O   14.34100  11.88100   0.41000
H   14.66100  11.12100   0.98000
H   13.42100  12.15100   0.71000
O    2.97000   0.35000   1.71000
H    3.46000   1.19000   1.50000
H    3.59000  -0.30000   2.16000
O    9.35100   2.36000   4.80000
H    8.87100   2.77000   4.02000
H   10.34100   2.34000   4.61000
O   10.76100   6.83000  14.64100
H    9.96100   6.22000  14.67100
H   11.57100   6.30000  14.40100
O   12.27100  15.70100   7.93000
H   12.48100  16.44100   7.28000
H   12.95100  15.70100   8.66000
O    4.59000  11.52100   7.41000
H    3.88000  11.25100   8.06000
H    4.33000  11.24100   6.48000
O   12.71100  17.97100   5.91000
H   13.15100  18.61100   5.27000
H   12.21100  18.49100   6.61000
O   10.32100   5.49000   0.16000
H    9.91100   6.31000  -0.23000
H   10.96100   5.75000   0.89000
O    5.61000   2.22000  11.47100
H    5.99000   1.38000  11.84100
H    4.73000   2.41000  11.91100
O    8.66000   4.54000   6.42000
H    8.34000   5.26000   5.80000
H    8.90000   3.73000   5.89000
O   10.17100   0.39000   7.53000
H    9.45100   0.44000   6.84000
H    9.93100  -0.30000   8.22000
O   14.29100  11.73100   8.67000
H   13.74100  10.89100   8.60000
H   14.55100  12.02100   7.75000
O   14.66100   5.90000   9.92100
H   14.36100   4.95000   9.99100
H   15.39100   6.06000  10.58100
O   18.57100   8.33000   3.77000
H   18.99100   7.69000   4.41000
H   18.19100   7.82000   2.99000
O    4.88000  13.85100   1.74000
H    4.01000  13.70100   2.21000
H    4.71000  14.11100   0.79000
O   16.64100  12.80100   6.57000
H   17.63100  12.88100   6.71000
H   16.19100  13.64100   6.88000
O   13.90100   5.75000   0.78000
H   13.36100   5.54000   1.59000
H   14.81100   5.34000   0.87000
O    5.27000   2.56000   3.28000
H    5.54000   1.97000   2.53000
H    5.27000   3.51000   2.97000
O   17.54100  12.23100  15.88100
H   18.45100  11.84100  15.75100
H   17.62100  13.19100  16.12100
O   10.64100  13.47100  13.40100
H    9.84100  13.24100  13.95100
H   11.47100  13.21100  13.89100
O   15.92100  16.29100  16.25100
H   16.19100  16.63100  15.35100
H   16.71100  15.91100  16.71100
O   11.11100  11.95100  11.00100
H   10.71100  12.39100  11.81100
H   10.70100  12.32100  10.17100
O   16.38100  10.99100  10.79100
H   16.43100  11.80100  11.38100
H   15.52100  11.01100  10.28100
O    9.15000   0.89000  14.02100
H    9.40000   0.69000  13.07100
H    9.87000   1.45000  14.44100
O    9.80100  11.16100  17.19100
H    8.81100  11.22100  17.29100
H   10.03100  10.36100  16.63100
O    7.05000  10.50100   3.68000
H    6.91000  10.57100   4.67000
H    7.89000   9.99100   3.50000
O    4.10000   8.13000  12.51100
H    4.96000   8.25000  13.01100
H    3.68000   7.26000  12.78100
O   12.74100   3.86000  12.62100
H   12.95100   4.60000  13.26100
H   11.85100   4.03000  12.19100
O    3.67000  11.00100   5.01000
H    3.60000  11.83100   4.45000
H    3.71000  10.20100   4.41000
O    5.66000   5.37000   8.65000
H    5.78000   6.03000   7.91000
H    6.12000   5.71000   9.48000
O   12.52100  13.48100   3.88000
H   13.02100  14.25100   4.28000
H   11.57100  13.50100   4.20000
O   12.72100  14.45100  11.42100
H   13.19100  14.58100  12.29100
H   12.06100  13.71100  11.51100
O   15.82100   6.39000   4.72000
H   15.51100   7.00000   5.45000
H   16.32100   6.91000   4.03000
O    4.02000   7.51000  15.98100
H    4.70000   8.06000  15.51100
H    4.42000   6.63000  16.25100
O   15.87100   7.79000  16.70100
H   14.95100   8.17000  16.65100
H   16.47100   8.26000  16.05100
O   10.13100   1.05000  17.70100
H   10.19100   1.90000  17.18100
H   10.45100   0.29000  17.13100
O    5.04000   0.50000  17.40100
H    4.62000  -0.07000  16.70100
H    4.38000   1.19000  17.72100
O    5.73000   8.70000  10.29100
H    6.17000   9.59000  10.20100
H    5.10000   8.70000  11.06100
O   13.60100   8.62000  10.45100
H   12.85100   8.62000   9.79100
H   13.97100   7.70000  10.54100
O   12.09100   5.25000   2.75000
H   12.22100   4.41000   3.29000
H   11.80100   5.99000   3.35000
O    7.32000   6.34000  10.64100
H    7.91000   6.08000   9.88100
H    7.04000   7.30000  10.53100
O   17.28100   9.35100  18.54100
H   16.82100   9.28100  17.65100
H   16.66100   9.79100  19.20100
O    3.07000   0.63000   6.18000
H    2.96000   1.57000   6.51000
H    3.02000   0.00000   6.95000
O   16.22100   3.67000   3.74000
H   16.24100   2.91000   4.38000
H   15.74100   4.44000   4.14000
O   10.23100   7.66000   9.66100
