KEY,Comparison set,Profile Link,GPU metrics in profile?,qmd-progress commit,Machine,Compiler,System,Atoms,Ranks,Parts,Target for Optimization,MD time step (ms),STDEV MD time step (ms),NVTX tag,NVTX tag time (ms),STDEV NVTX tag time (ms),CPU or GPU opt?,Notes
59,,https://drive.google.com/file/d/17DQ0RMloh3qhFTbn2yxbEvW6AxdXoIj9/view?usp=sharing,N,9391d454ddd,Chicoma,nvidia,Trp cage,32056,8,256,,26180,891.6,,,,,New subgraph method
58,,https://drive.google.com/file/d/1Cvhg952BAIlmweLuZrEA6xKyMFMPNAya/view?usp=share_link,N,9391d454ddd,Chicoma,nvidia,water,2088,8,8,,1389,39.6,,,,,"New subgraph method, crashes on perlmu"
57,"54,55",https://drive.google.com/file/d/1GvOA0eKycd5qWzJkNY-vAM9X7_HP0ie4/view?usp=share_link,,194c3cbb1a948,Chicoma,nvidia,water,2088,8,8,prg_buildzdiag,1566,24.9,prg_buildzdiag,201.7,2.5,GPU,Offload prg_buildzdiag. Offload
56,"56,57",https://drive.google.com/file/d/1pij-cy7NRW1w-Hyg9WLNZfUhJPYbSxuM/view?usp=sharing,,fb7b104dc09066,Chicoma,nvidia,water,2088,8,8,prg_buildzdiag,1653,51.7,prg_buildzdiag,273.4,7.4,GPU,Offload prg_buildzdiag. Baseline
55,"54,55",https://drive.google.com/file/d/1x24CTx7SMkTXoGP1vZyPyTs3huj49g5k/view?usp=share_link,,059e654ed07322,Chicoma,nvidia,water,2088,8,8,get_hsmat,3275,57.8,GetHS,2040,19,GPU,Initial offload of get_hsmat is slow. Offload
54,"54, 55",https://drive.google.com/file/d/1wJ_O2-2_7EitDkBYpIoM14ZV_hBrUpSr/view?usp=share_link,,2851bb465c,Chicoma,nvidia,water,2088,8,8,get_hsmat,1668,49.7,GetHS,111.1,16.3,GPU,Initial offload of get_hsmat is slow. Baseline
53,"52, 53",https://drive.google.com/file/d/1thcUHrf0eT4wJRUfXHK0vN9u-4KKDv4B/view?usp=share_link,,2851bb465c,Chicoma,nvidia,Trp cage,32056,128,128,prg_get_skforce,6267,112.2,prg_get_skforce,57.3,0.96,GPU,Offload a number of routines ending in prg_get_skforce. Offloads
52,"52, 53",https://drive.google.com/file/d/1sOqeo6_ztL4ARQN15iuZF7LtdZ_v7anP/view?usp=share_link,,c456ce344,Chicoma,nvidia,Trp cage,32056,128,128,prg_get_skforce,6930,N/A,prg_get_skforce,179.5,2.3,GPU,Offload a number of routines ending in prg_get_skforce. Baseline
51,"50,51",https://drive.google.com/file/d/1wJ_O2-2_7EitDkBYpIoM14ZV_hBrUpSr/view?usp=share_link,,2851bb465c,Chicoma,nvidia,water,2088,8,8,prg_get_skforce,1668,49.7,prg_get_skforce,19.1,0.34,GPU,Offload prg_get_skforce. Initial offload
50,"50,51",https://drive.google.com/file/d/1QImASwGQh7LqjVXyOT4vh6CXfwCP-xuw/view?usp=share_link,,2851bb465c,Chicoma,nvidia,water,2088,8,8,prg_get_skforce,1719,68.1,prg_get_skforce,83.2,1.1,GPU,Offload prg_get_skforce. Baseline
49,"48,49",https://drive.google.com/file/d/1VaBImnCLFr4f1BDPUTRUhFiZYo0Sabe_/view?usp=share_link,,2851bb465c,Selene,nvidia,water,2088,8,8,prg_get_pulayforce,1546,44.8,prg_get_pulay_force,27.1,22.5,GPU,Offload prg_get_pulay_force. Initial offload
48,"48,49",https://drive.google.com/file/d/1_Cmw7eQ1QQqCVc5Af9GIYDThZsx7rqMT/view?usp=share_link,,b25f46d314c01,Selene,nvidia,water,2088,8,8,prg_get_pulayforce,1633,14.7,prg_get_pulay_force,123.2,2.7,GPU,Offload prg_get_pulay_force. Baseline
47,"46,47",https://drive.google.com/file/d/1_Cmw7eQ1QQqCVc5Af9GIYDThZsx7rqMT/view?usp=share_link,,b25f46d314c01,Selene,nvidia,water,2088,8,8,prg_get_evals_Dvals_Evects,1633,14.7,DM_min,178.2,2.8,GPU,Offload prg_get_evals_Dvals_Evects. Initial offload
46,"46,47",https://drive.google.com/file/d/1xe-0HLvpIuo_mxgV3CHjr2Cs-Y6Nqv6K/view?usp=share_link,,9989a0316,Selene,nvidia,water,2088,8,8,prg_get_evals_Dvals_Evects,1835,15.7,DM_min,276.5,7.2,GPU,Offload prg_get_evals_Dvals_Evects. Baseline
45,"44,45",https://drive.google.com/file/d/1xe-0HLvpIuo_mxgV3CHjr2Cs-Y6Nqv6K/view?usp=share_link,,9989a0316,Selene,nvidia,water,2088,8,8,prg_get_charges,1835,15.7,Charges,6.6,0.54,GPU,"Offload prg_get_charges. This is the initial kernel, single node"
44,"44,45",https://drive.google.com/file/d/1dOp5d2jkhvjVZvRa0fKgaivzYsWQ9GS9/view?usp=share_link,,c45ee83aaf,Selene,nvidia,water,2088,8,8,prg_get_charges,2075,17.8,Charges,81.9,3.8,GPU,"Offload prg_get_charges. This is the baseline on selene, single node"
43,"41,42,43",https://drive.google.com/file/d/1gindAyH1NegEu7Q1BN6cmzyMiWdNT3Yc/view?usp=share_link,,c456ce344,Chicoma,nvidia,Trp cage,32056,128,128,get_ewald_list_real_dcalc,7666,N/A,Ewald,414.1,6.2,GPU,"Machine was slower for unknown reasons, with MPI latencies. Optimized Chicoma performance for 2x2x1 Trp cage. MD time is median as includes a NL calc"
42,"41,42,43",https://drive.google.com/file/d/1sOqeo6_ztL4ARQN15iuZF7LtdZ_v7anP/view?usp=share_link,,c456ce344,Chicoma,nvidia,Trp cage,32056,128,128,get_ewald_list_real_dcalc,6930,N/A,Ewald,425.5,13.97,GPU,Optimized Chicoma performance for 2x2x1 Trp cage. MD time is median as includes a NL calc
41,"41,42,43",https://drive.google.com/file/d/1woHUW5XTVsbinSufA-_DQ53OH4wlvmVu/view?usp=share_link,,bb4d2968aaad1a73,Chicoma,nvidia,Trp cage,32056,128,128,get_ewald_list_real_dcalc,7421,N/A,Ewald,517.2,7.4,GPU,Baseline Chicoma performance for 2x2x1 Trp cage. MD time is median as includes a NL calc
40,"34, 37, 38",https://drive.google.com/file/d/1ixAmoETttn-XHFE_ep0nSb5BnAUKSuCQ/view?usp=sharing,,c456ce344,Chicoma,nvidia,water,2088,8,8,get_nonortho_coul_forces,2102,57.8,get_nonortho_coul_forces,45.3,0.23,GPU,Optimized nonortho coul Chicoma performance. Assess offload of nonortho coul forces.
39,"34, 37, 38",https://drive.google.com/file/d/1uU8eq23QV1ajBSrTyOhHUS3_9QNZg2K_/view?usp=share_link,,bb4d2968aaad1a73,Chicoma,nvidia,water,2088,8,8,get_nonortho_coul_forces,2117,63,get_nonortho_coul_forces,107.7,2.1,GPU,Baseline Chicoma performance. Assess baseline offload of nonortho coul forces.
38,"34, 37, 38",https://drive.google.com/file/d/1ixAmoETttn-XHFE_ep0nSb5BnAUKSuCQ/view?usp=sharing,,c456ce344,Chicoma,nvidia,water,2088,8,8,get_ewald_list_real_dcalc,2102,57.8,Ewald,15.7,2.6,GPU,Offload Chicoma performance. Assess initial offload of Ewald real.
37,"34, 37, 38",https://drive.google.com/file/d/1uU8eq23QV1ajBSrTyOhHUS3_9QNZg2K_/view?usp=share_link,,bb4d2968aaad1a73,Chicoma,nvidia,water,2088,8,8,get_ewald_list_real_dcalc,2117,63,Ewald,9.3,3.4,GPU,Baseline Chicoma performance. Assess initial offload of Ewald real.
36,"35, 36",https://drive.google.com/file/d/1bZQ7NpJ4pLHbeYodgIu9mfEfkerOCtrC/view?usp=drive_link,,dc22aa2b87f,Venado,nvidia,Trp cage,8014,16,64,get_dH_and_dS,2450,26,get_dH_and_dS,39.4,5.9,CPU,Compare new get_dH_and_sD using TrpCate. After
35,"35, 36",https://drive.google.com/file/d/1wLTtLwqmq9FQIdUmTx0W6HPGvFBUB45C/view?usp=share_link,,049d8bbb,Venado,nvidia,Trp cage,8014,16,64,get_dH_and_dS,2836,105.9,get_dH_and_dS,95.8,13.9,CPU,Compare new get_dH_and_sD using TrpCate. Before
34,"33, 34",https://drive.google.com/file/d/17Azmy3ogE6CYcEhNlYHq7tCvkOnORPz2/view?usp=drive_link,,dc22aa2b87f,Venado,nvidia,Water,2088,8,8,get_dH_and_dS,646,27,get_dH_and_dS,58,22,CPU,Compare new get_dH_and_dS using 8 ranks and 8 parts. This is after
33,"33, 34",https://drive.google.com/file/d/1UXUQqqaXDLRzI3NBUPBUahX4yhP1clC5/view?usp=drive_link,,77afccfea7,Venado,nvidia,Water,2088,8,8,get_dH_and_dS,686.4,31.9,get_dH_and_dS,115,9.9,CPU,Compare new get_dH_and_dS using 8 ranks and 8 parts. This is before
32,"31, 32",https://drive.google.com/file/d/1keJXXfSMj46q5WeMw-pw_IkjEYhE7vZR/view?usp=drive_link,,06f07f52f,Venado,nvidia,Water,2088,4,4,get_dH_and_dS,805,0.54,get_dH_and_dS,60.8,2.25,CPU,Compute finite differences within new dSKBlock subroutine. Good speedup.
31,"31, 32",https://drive.google.com/file/d/1oXX3DNZN4bPvSdKf7d-2xGxDF3LaXg2P/view?usp=drive_link,,aa9f7953f72,Venado,nvidia,Water,2088,4,4,get_dH_and_dS,856,31.9,get_dH_and_dS,149,0.83,CPU,Add nested tags in get_dH_and_dS and discover slow initializations and finite differences
30,"29, 30",https://drive.google.com/file/d/1x7nfN3g2rxqMGVzwivwRwGHc3f4RltEW/view?usp=drive_link,,77afccfea7,Venado,nvidia,Water,2088,8,8,get_SKblock_vect,7683,48.2,get_dH_and_dS,5686,38.8,CPU,"Compare nvidia to cray performance using the pack() method  with vector arithmetic for H, S. Sock0 using --cpu-socket-metrics=2,3,4,5,102,130 --cpu-core-metrics=29,32 --cpu-core-events=64,65"
29,"29, 30",https://drive.google.com/file/d/1FgXQJHmzsYXi2NWGxQMSlR_faL7hx9_o/view?usp=drive_link,,77afccfea7,Venado,cray,Water,2088,8,8,get_SKblock_vect,2355,158,get_dH_and_dS,100,17.6,CPU,"Compare nvidia to cray performance using the pack() method  with vector arithmetic for H, S. Sock0 using --cpu-socket-metrics=2,3,4,5,102,130 --cpu-core-metrics=29,32 --cpu-core-events=64,65"
28,"24, 25, 26, 27, 28",https://drive.google.com/file/d/14dS96QaY3Yy4guYzMonGeV5MdhgKwd1w/view?usp=drive_link,,77afccfea7,Venado,nvidia,Water,2088,8,8,gpmdcov_part,694.4,23.2,Part,40,19.8,CPU,"Sock1 using --cpu-socket-metrics=20,21,22,23,109,137 --cpu-core-metrics=29,32 --cpu-core-events=64,65"
27,"24, 25, 26, 27, 28",https://drive.google.com/file/d/1UXUQqqaXDLRzI3NBUPBUahX4yhP1clC5/view?usp=drive_link,,77afccfea7,Venado,nvidia,Water,2088,8,8,gpmdcov_part,686.4,31.9,Part,35.3,18.9,CPU,"Sock0 using --cpu-socket-metrics=2,3,4,5,102,130 --cpu-core-metrics=29,32 --cpu-core-events=64,65"
26,"24, 25, 26, 27, 28",https://drive.google.com/file/d/1_icAT3nmKem3y644G2VKfFyzGWSctsCy/view?usp=drive_link,,77afccfea7,Venado,nvidia,Water,2088,8,8,gpmdcov_part,684.4,28,Part,41.8,26,CPU,"Vec3 using --cpu-core-events=64 --cpu-core-metrics=8,16,17,18"
25,"24, 25, 26, 27, 28",https://drive.google.com/file/d/1IuBIHP5QtdM8K_aa8fpeMHIvbMcexA_1/view?usp=drive_link,,77afccfea7,Venado,nvidia,Water,2088,8,8,gpmdcov_part,684.7,28.6,Part,38.5,21.8,CPU,"Vec2 using --cpu-core-events=64,65 --cpu-core-metrics=29,32"
24,"24, 25, 26, 27, 28",https://drive.google.com/file/d/1euwaBGsiELxdguNbIW7juKRi0yQy3BOI/view?usp=drive_link,,77afccfea7,Venado,nvidia,Water,2088,8,8,gpmdcov_part,689.1,36.9,Part,38.2,17.6,CPU,"Vec1 using --cpu-core-events=64,65,66,72,73,92"
23,"22,23",https://drive.google.com/file/d/1mGrcNbbQQFeKQqtiWzV8WwSd2kCZWWLJ/view?usp=drive_link,,77afccfea7,Venado,nvidia,Water,2088,-1,-1,gpmdcov_musearch,995,93,gpmdcov_musearch,0.83,0.05,CPU,Performance after eliminating NR method. Includes vector instruction counters
22,"22, 23",https://drive.google.com/file/d/1CifTIdYNCncM-_TO1HY4TCfrQkC9xE00/view?usp=drive_link,,d2d7bdc846fb,Venado,nvidia,Water,2088,-1,-1,gmpdcov_musearch,1174,169,gpmdcov_musearch,219.2,169.7,CPU,Performance before eliminating NR method. Includes vector instruction counters
21,"17, 21",https://drive.google.com/file/d/15B0QHe79wBoWCJMQCdhZc7s_Ac7PVQ-o/view?usp=share_link,,049d8bbb,Venado,cray,Trp cage,8014,16,64,get_nonortho_coul_forces,2846,92.8,get_nonortho_coul_forces,41.3,5.5,CPU,Cray performance (unvectorized) after nvidia CPU opts in get_nonortho_coul_forces
20,"13, 20",https://drive.google.com/file/d/1aMEHXN8bRfUJV7LvbCf9aS4bGs3i50kG/view?usp=share_link,,d1d45d0e,Venado,cray,Trp cage,8014,16,64,"InitParts, get_dH_and_dS",3044,67.7,InitParts,611.5,9,CPU,"Redo Cray performance after nvidia opts, eliminating slow post-partition step"
19,"9, 19",https://drive.google.com/file/d/1Dvwg97M8f6JZXl9Qnu2LXzaUuvt4HJf_/view?usp=share_link,,504b7d518,Venado,cray,Trp cage,8014,16,64,,4519,89.8,InitParts,1107,11.1,CPU,"Redo Cray performance before nvidia opts, eliminating slow post-partition step"
18,"16, 17, 18",https://drive.google.com/file/d/1wLTtLwqmq9FQIdUmTx0W6HPGvFBUB45C/view?usp=share_link,,049d8bbb,Venado,nvidia,Trp cage,8014,16,64,get_nonortho_coul_forces_local,2836,105.9,get_nonortho_coul_forces,26.1,3.9,GPU,OpenACC kernel using deviceptr() for arrays
17,"16, 17, 18",https://drive.google.com/file/d/1LxR1i4h_erjlyMK8ovQJF1C_vMVuu5Ta/view?usp=sharing,,049d8bbb8,Venado,nvidia,Trp cage,8014,16,64,get_nonortho_coul_forces_local,3126,66.8,get_nonortho_coul_forces,50.9,7.9,CPU,"Eliminate pack(), unpack() from CPU code"
16,"16, 17, 18",https://drive.google.com/file/d/1eNmf8xKulJQnlR-u3U8JiXZ3p3GF_8fa/view?usp=share_link,,d1d45d0e,Venado,nvidia,Trp cage,8014,16,64,get_nonortho_coul_forces_local,3117,51.1,get_nonortho_coul_forces,78.8,14.1,CPU,Baseline get_nonortho_coul_forces timing
15,"9, 15",https://drive.google.com/file/d/1ufEnceey8-ZLVG9M8d_bDsfmpSHenRAV/view?usp=share_link,,504b7d518,Venado,cray,Trp cage,8014,16,64,,8267,44774,DM_min,4198,10762,CPU,Cray performance on 16 ranks before nvidia opts (see below note about repartitioning)
14,"13, 14",https://drive.google.com/file/d/14q6nyVvOtZ5or-4IcCG3kX2un9W6Jfrz/view?usp=share_link,,d1d45d0e,Venado,cray,Trp cage,8014,16,64,,6765,12402,DM_min,4131,10575,CPU,Compare nvidia to cray performance (see below note about repartitioning)
13,"12, 13",https://drive.google.com/file/d/1eNmf8xKulJQnlR-u3U8JiXZ3p3GF_8fa/view?usp=share_link,,d1d45d0e,Venado,nvidia,Trp cage,8014,16,64,get_dh_or_ds,3117,51.1,get_dH_and_dS,97.6,13,CPU,Create get_dH_or_dS using optimized get_skblock_inplace method
12,"12, 13",https://drive.google.com/file/d/1FAzWcL4IzP7q9RoAsNCziZgqMDZkLjr-/view?usp=share_link,,f41917c2,Venado,nvidia,Trp cage,8014,16,64,get_dh_or_ds,4026,61.3,get_dH_and_dS,278.8,31.3,CPU,Baseline get_dH_and_dS timing
11,"9, 10, 11",https://drive.google.com/file/d/1FAzWcL4IzP7q9RoAsNCziZgqMDZkLjr-/view?usp=share_link,,f41917c2,Venado,nvidia,Trp cage,8014,16,64,get_hsmat,4026,61.3,InitParts,639,4.7,CPU,"Zero H,S before loop and eliminate initialization to zero inside get_skblock"
10,"9, 10, 11",https://drive.google.com/file/d/1dkFjvEtUKGoj9p-zJqCCJSv0c-ANqRve/view?usp=share_link,,0c7f55d3,Venado,nvidia,Trp cage,8014,16,64,get_hsmat,4854,205.6,InitParts,1439,229.2,CPU,"Pass H,S subarray to get_skblock and add collapse(2) clause"
9,"9, 10, 11",https://drive.google.com/file/d/1Xvuoti85eRgwe-p5fJ4WGf9oC5Q8VJFD/view?usp=share_link,,504b7d518,Venado,nvidia,Trp cage,8014,16,64,,9850,61,InitParts,6419,57.3,CPU,"Switch to 4 nodes, 16 ranks for profiling runs. Before nvidia opts"
8,"5, 6, 7, 8",https://drive.google.com/file/d/1mo-sZ3lG8qUsZ2kRlWVclUonIJkAb7a7/view?usp=share_link,,f41917c2,Venado,nvidia,Trp cage,8014,64,64,get_hsmat,1409,53.2,InitParts,197.5,5.2,CPU,"Zero H,S before loop and eliminate initialization to zero inside get_skblock"
7,"5, 6, 7, 8",https://drive.google.com/file/d/1S3eZr9fEoBUa4toBPQmY9n2dAO3Xes2L/view?usp=share_link,,0c7f55d3,Venado,nvidia,Trp cage,8014,64,64,get_hsmat,1761,93.2,InitParts,659,2.3,CPU,"Pass H,S subarray to get_skblock and add collapse(2) clause"
6,"5, 6, 7, 8",https://drive.google.com/file/d/1ivRUtP3nRy7o_I57mMYPyh5UHeW9rdsQ/view?usp=share_link,,0c7f55d3,Venado,nvidia,Trp cage,8014,64,64,get_hsmat,2741,56.5,InitParts,1537,13.9,CPU,"Pass H,S subarray to get_skblock"
5,"5, 6, 7, 8",https://drive.google.com/file/d/1L1Ptc5lx1G_QGLgX-cjUr5lynzzmzkxi/view?usp=share_link,,504b7d518,Venado,nvidia,Trp cage,8014,64,64,get_hsmat,3023,66.5,InitParts,1845,23.2,CPU,"After venado DST, baseline for nvidia opts"
4,4,https://drive.google.com/file/d/1GQzqaSVBWDTea8zfN0aDcN2M6_dq8tST/view?usp=share_link,,504b7d518,Venado,cray,Water,-1,-1,-1,,1953,2889,DM_min,1193,2860,CPU,Demonstrates working craype_accel_nvidia90 build. Water system size and run params unknown (see below note about Cray reparitioning)
3,"1, 2, 3",https://drive.google.com/file/d/1uTmvqpLMqCY4v1UR8aNrkI6OMNj8Gf7_/view?usp=share_link,,504b7d518,Venado,nvidia,Trp cage,8014,64,64,,9251,84.8,,,,CPU,Demonstrates vectorized nvidia is even slower
2,"1, 2, 3",https://drive.google.com/file/d/1eNP3RkfOOsFFQBZU0PnkczkMpVZoAnK4/view?usp=share_link,,504b7d518,Venado,nvidia,Trp cage,8014,64,64,,3015,57.2,InitParts,1816,7.1,CPU,demonstrates nvidia much slower in InitParts
1,"1, 2, 3",https://drive.google.com/file/d/1M-aqSW04n3BKTTbPoRoMqojpD5C70Mwz/view?usp=share_link,,504b7d518,Venado,cray,Trp cage,8014,64,64,,2373,3788,InitParts,226,13.5,CPU,"Demonstrates nvidia mush slower than cray in InitParts. First Cray sample is just after repartitioning, and includes kernel rebuild, giving rise to higher average and very large STDEV "
