         300
  14.40500   0.00000   0.00000
   0.00000  14.40500   0.00000
   0.00000   0.00000  14.40500
H    2.44100   0.20600   1.00300
O    2.28300   0.06800   0.04900
H    1.79100  13.63200   0.01400
H    0.50700  14.25000   6.56400
O    0.89500   0.74100   6.43800
H    0.12600   1.30400   6.65900
H    6.07100   4.56800  13.85400
O    6.37600   5.36600  14.36300
H    6.85400   4.94600   0.72800
H    9.13800   4.82900   5.13900
O    9.29500   4.91700   4.17100
H   10.26100   4.85100   4.00400
H    8.42200   9.67800  11.47900
O    7.63900  10.22400  11.24900
H    6.98500  10.03000  11.95900
H    6.55500   7.29100   3.44600
O    7.45600   7.68200   3.53200
H    7.49900   7.84300   4.50800
H    4.03200   0.78800   4.74000
O    4.75200   0.59500   5.39200
H    4.93100  14.05400   5.27900
H    1.04800  12.26800   2.34300
O    1.88300  12.29500   1.83400
H    1.86500  11.48000   1.30400
H    2.74800   5.73400   0.76500
O    3.46700   5.76700   0.11100
H    3.92400   4.91000   0.17200
H   14.40100   8.01500   4.04100
O    0.76200   8.54100   3.68700
H    1.00500   8.03800   2.88300
H    7.57100   5.54500   7.83500
O    7.65800   5.22700   6.90000
H    7.10000   4.43000   6.98000
H   12.14000   7.26200   7.79000
O   13.06300   7.56900   7.96500
H   13.60300   6.79600   7.66600
H    5.93400   8.72200  10.97800
O    5.13500   8.66700  11.53300
H    4.54900   8.03000  11.07400
H    7.15000   0.49500   4.78800
O    8.03300   0.64100   5.18500
H    8.68400   0.54600   4.46200
H    1.35800  11.09600   7.49700
O    1.66800  11.00200   6.56900
H    1.84200  10.05600   6.42900
H    2.32300   0.33300   7.72900
O    3.22700  14.38400   7.87200
H    3.04600  13.58400   8.41900
H    9.01000   4.35900  10.22700
O    9.93700   4.62600  10.06700
H   10.04200   4.45800   9.11500
H    2.06900   2.69100  13.04500
O    2.59600   2.79900  13.86800
H    2.55700   1.89200  14.23700
H    5.72700   4.79800   4.39600
O    6.51700   5.06700   3.85800
H    7.25200   4.96500   4.49800
H    2.69800   5.51700   7.46500
O    3.02200   6.39100   7.77500
H    3.46900   6.21700   8.63900
H    0.76700   4.55300   4.59100
O    0.38900   3.83000   4.05200
H   14.34500   4.32900   3.33800
H   12.18900   4.33400  10.12700
O   12.65400   4.89700  10.77400
H   12.54400   4.41900  11.61900
H    8.10500  13.66900   2.56500
O    8.43200  13.12200   3.29900
H    7.81600  12.42300   3.59800
H   13.16500   9.90100  12.67200
O   14.15900   9.90100  12.39300
H   14.27000   9.05600  11.92800
H    7.84000  13.93900   9.33300
O    7.92300  14.23400  10.25800
H    7.40000  13.58600  10.76200
H    6.28400   0.41000   8.01800
O    5.69000   1.17500   8.11800
H    4.84100   0.82000   7.71700
H    1.94900  12.85000  10.69600
O    2.01500  12.54100   9.76500
H    1.28400  11.89400   9.72200
H   14.31000   7.21700  10.10700
O    0.47300   7.78600  10.64900
H    1.34500   7.36400  10.58100
H    1.91600   0.79200   3.31800
O    2.78500   0.62900   2.89000
H    3.06600  14.17500   3.29700
H   10.53100   2.50700   2.36700
O   11.36600   2.91800   2.69700
H   11.56000   2.47700   3.54000
H    3.27600   5.45800  11.53400
O    4.15400   5.85000  11.33800
H    4.43800   6.12500  12.23200
H    7.00100   8.93100   9.33700
O    7.39500   8.40400   8.62600
H    7.02100   7.49300   8.72600
H    5.75200   5.35800   9.37400
O    6.56800   5.90700   9.32100
H    6.88200   5.97000  10.27200
H   10.40400  12.64500   6.10700
O   10.85000  13.13700   5.38900
H   10.99800  12.46100   4.68700
H   10.61900  10.58000  13.77000
O   11.59400  10.52100  13.96100
H   11.70300   9.55700  14.13200
H    4.10700   1.50300   1.76500
O    4.94200   1.40000   1.27600
H    4.85000   0.48400   0.94400
H    7.95300  12.37300   7.74500
O    8.51700  12.17400   8.51900
H    8.04200  11.47200   8.99800
H    8.65200   3.68700   0.28100
O    9.36200   3.39000  14.09900
H    8.93600   2.79700  13.48000
H    0.50300   8.64900  13.75200
O    1.28100   8.48500  14.34500
H    1.02900   7.68600   0.48100
H    4.43000  12.76400   9.75100
O    4.82500  13.52700  10.22600
H    5.21400  14.07100   9.51700
H    2.58000   9.53500   9.06300
O    3.17400   8.77600   8.89400
H    3.46100   8.85100   7.96600
H    4.11900  12.68100  13.25000
O    4.22500  12.06400  12.48900
H    3.84800  11.22300  12.85000
H    3.71200  13.00100   0.99200
O    4.62800  12.95800   0.64700
H    4.98900  12.13800   1.10600
H    7.56200   9.50400   3.04100
O    8.04500  10.34400   3.25300
H    9.00100  10.12000   3.12500
H    6.65100  11.71200   2.12800
O    5.77600  11.41900   2.45900
H    5.84800  10.44500   2.46400
H   12.43900   6.66900   1.83900
O   11.90900   6.01200   2.32300
H   12.22900   5.14600   2.00300
H    0.01500   5.86600   1.71600
O    0.86300   6.29800   1.95400
H    1.47200   5.58300   2.19800
H   11.93100  12.50200   8.47200
O   11.09900  12.76900   8.03300
H   10.40400  12.33000   8.55900
H    4.18500   7.37800   6.80400
O    4.58800   8.16400   6.36200
H    4.06900   8.26300   5.54600
H   13.90600   2.01700   8.61300
O    0.42000   2.40200   8.55700
H    0.72200   2.32600   9.49200
H    4.77800   3.30700  11.98200
O    5.22100   2.98700  12.79900
H    4.50400   3.06700  13.48000
H   13.34400  13.91800   3.35700
O   14.12600  14.28700   3.81400
H    0.32500  13.51800   3.91800
H    9.03700   6.80200  13.69500
O    9.60000   7.46700  13.23300
H    9.42900   7.30100  12.27400
H    0.50800  11.30700   5.18600
O    0.38100  11.38200   4.20800
H    0.87200  10.59300   3.84800
H   12.97800   3.42400   1.81800
O   13.70400   3.93900   1.38500
H   13.84500   3.49900   0.52700
H   12.19600   6.94000   4.04700
O   13.00400   7.21100   4.53000
H   12.67700   7.39900   5.42900
H   10.42200   0.27300  11.89100
O   10.91400   0.38200  11.04600
H   10.21900   0.31100  10.36600
H    7.67500   2.21900   8.04800
O    8.31300   2.58900   7.40300
H    8.25800   1.94000   6.64500
H   10.07400  10.19500   6.81700
O    9.89800  10.16400   5.86100
H   10.36600   9.35900   5.57300
H   12.13400   1.07200   9.93600
O   12.23300   1.27900   8.95600
H   12.27200   0.42600   8.41600
H    4.05900   7.71300   1.79200
O    4.71500   7.10600   2.16000
H    4.64800   6.38100   1.50800
H   13.87700  10.61100   8.87100
O    0.38900  10.36300   9.16200
H    0.24000   9.46200   9.49100
H    2.96700   9.01700  14.01200
O    3.78500   9.58100  13.91400
H    4.27700   9.04900  13.24700
H   10.08500  14.00000   2.85900
O   10.87300  14.37900   2.55900
H   11.33800   0.39000   3.32600
H   11.30900   7.53200  14.04400
O   12.22900   7.70000  14.38900
H   12.79700   7.04500  13.91200
H    6.46100  13.93100   0.93500
O    7.39600  13.67800   0.82500
H    7.40600  13.36300  14.29800
H   12.03000   1.44800  12.36400
O   12.79400   1.37100  12.95000
H   12.48500   0.71800  13.59900
H    2.12200   3.25800   7.72200
O    2.41000   3.77400   6.94200
